Date,Profit
12/1/2010,45867.26
12/2/2010,45656.47
12/3/2010,22553.38
12/5/2010,30970.28
12/6/2010,30258.77
12/7/2010,53061.64
12/8/2010,37894.06
12/9/2010,37139.86
12/10/2010,31903.45
12/12/2010,17014.2
12/13/2010,27365.09
12/14/2010,26826.24
12/15/2010,29250.54
12/16/2010,47773.32
12/17/2010,18082.22
12/19/2010,7275.35
12/20/2010,17551.68
12/21/2010,15727.96
12/22/2010,4821.12
12/23/2010,5379.97
1/4/2011,11029.51
1/5/2011,28146.2
1/6/2011,31847.06
1/7/2011,22194.34
1/9/2011,15524.53
1/10/2011,14968.4
1/11/2011,59405.27
1/12/2011,16402.49
1/13/2011,15068.36
1/14/2011,39310.06
1/16/2011,6850.94
1/17/2011,16450.03
1/18/2011,10292.66
1/19/2011,21238.02
1/20/2011,14824.35
1/21/2011,23614.15
1/23/2011,10191.8
1/24/2011,17423.7
1/25/2011,22888.43
1/26/2011,16995.48
1/27/2011,19411.79
1/28/2011,15740.31
1/30/2011,6383.3
1/31/2011,17530.72
2/1/2011,25762.88
2/2/2011,16923.4
2/3/2011,22036.65
2/4/2011,17966.14
2/6/2011,3439.67
2/7/2011,22961.9
2/8/2011,13931.56
2/9/2011,11910.83
2/10/2011,12701.29
2/11/2011,16094.14
2/13/2011,5467.25
2/14/2011,22543.41
2/15/2011,37589.17
2/16/2011,23195.68
2/17/2011,17648.84
2/18/2011,14158.38
2/20/2011,9392
2/21/2011,32167.79
2/22/2011,28932.8
2/23/2011,19217.13
2/24/2011,21309.93
2/25/2011,15811.24
2/27/2011,9347.26
2/28/2011,15024.73
3/1/2011,22738.34
3/2/2011,18271.8
3/3/2011,32267.01
3/4/2011,17270.62
3/6/2011,9542.53
3/7/2011,19503.98
3/8/2011,22119.96
3/9/2011,20188.51
3/10/2011,23907.44
3/11/2011,17414.85
3/13/2011,4106.72
3/14/2011,25711.37
3/15/2011,14646.58
3/16/2011,20951.49
3/17/2011,30875.82
3/18/2011,23045.42
3/20/2011,19761.49
3/21/2011,15674.85
3/22/2011,18813.71
3/23/2011,21503.42
3/24/2011,36361.75
3/25/2011,27104.92
3/27/2011,8928.4
3/28/2011,19407.45
3/29/2011,37010.07
3/30/2011,29127.82
3/31/2011,22319.89
4/1/2011,23215.12
4/3/2011,6807.48
4/4/2011,20816.79
4/5/2011,26876.48
4/6/2011,12615.31
4/7/2011,16496.43
4/8/2011,20677.41
4/10/2011,9329.65
4/11/2011,19936.74
4/12/2011,23542.55
4/13/2011,23961.4
4/14/2011,34875.09
4/15/2011,17992.191
4/17/2011,12609.14
4/18/2011,19830.8
4/19/2011,18310.14
4/20/2011,25284.72
4/21/2011,27702.7
4/26/2011,21074.97
4/27/2011,23215.03
4/28/2011,20052.53
5/1/2011,6949.11
5/3/2011,13265.66
5/4/2011,27427.96
5/5/2011,24768.15
5/6/2011,30561
5/8/2011,18673.5
5/9/2011,21394.84
5/10/2011,27551.39
5/11/2011,31401.41
5/12/2011,57836.62
5/13/2011,25809.84
5/15/2011,9667.15
5/16/2011,35667.02
5/17/2011,45385.61
5/18/2011,32629.54
5/19/2011,30304.45
5/20/2011,24889.79
5/22/2011,24076.28
5/23/2011,27286.48
5/24/2011,31829.7
5/25/2011,21717.51
5/26/2011,32479.24
5/27/2011,20899.38
5/29/2011,7152.94
5/31/2011,17387.1
6/1/2011,14975.9
6/2/2011,27754.78
6/3/2011,14861.86
6/5/2011,25304.57
6/6/2011,15288.35
6/7/2011,33494.43
6/8/2011,29798.81
6/9/2011,41989.45
6/10/2011,18551.34
6/12/2011,12363.89
6/13/2011,17612.38
6/14/2011,33168.94
6/15/2011,43468.87
6/16/2011,31799.15
6/17/2011,18778.08
6/19/2011,22339.31
6/20/2011,25222.53
6/21/2011,18888.39
6/22/2011,21112.7
6/23/2011,21500.11
6/24/2011,15981.58
6/26/2011,6125.04
6/27/2011,13189.85
6/28/2011,30288.84
6/29/2011,12256.89
6/30/2011,40746.48
7/1/2011,11643.2
7/3/2011,5917.48
7/4/2011,30443.29
7/5/2011,25565.05
7/6/2011,22826.26
7/7/2011,26772.39
7/8/2011,17296.48
7/10/2011,5657.74
7/11/2011,19833.34
7/12/2011,17567.98
7/13/2011,19262.72
7/14/2011,30958.77
7/15/2011,11457.2
7/17/2011,16906.25
7/18/2011,11623.01
7/19/2011,45716.96
7/20/2011,21018.23
7/21/2011,29571.96
7/22/2011,14519.25
7/24/2011,26154.66
7/25/2011,19477.05
7/26/2011,16923.641
7/27/2011,22811.65
7/28/2011,53609.09
7/29/2011,16470.56
7/31/2011,33108.11
8/1/2011,19759.46
8/2/2011,19935.68
8/3/2011,25534.71
8/4/2011,57600.63
8/5/2011,19463.67
8/7/2011,7430.07
8/8/2011,16363.38
8/9/2011,24893.68
8/10/2011,18535.29
8/11/2011,54024.27
8/12/2011,17912.42
8/14/2011,5133.48
8/15/2011,17197.52
8/16/2011,15936.76
8/17/2011,46266.16
8/18/2011,53153.72
8/19/2011,17225.02
8/21/2011,14382.6
8/22/2011,27944.21
8/23/2011,22219.88
8/24/2011,37601.07
8/25/2011,22033.34
8/26/2011,24019.28
8/28/2011,10666.31
8/30/2011,8579.76
8/31/2011,11265.72
9/1/2011,37285.07
9/2/2011,29626.91
9/4/2011,16829.33
9/5/2011,35126.81
9/6/2011,25169.68
9/7/2011,21679.54
9/8/2011,22560.58
9/9/2011,24441.62
9/11/2011,35160.72
9/12/2011,27078.34
9/13/2011,47927.42
9/14/2011,21781.43
9/15/2011,69601.66
9/16/2011,22784.87
9/18/2011,15586.15
9/19/2011,46184.49
9/20/2011,103327.13
9/21/2011,32855.49
9/22/2011,55460.02
9/23/2011,30578.48
9/25/2011,31003.041
9/26/2011,28599.211
9/27/2011,28678.97
9/28/2011,38635.89
9/29/2011,41734.15
9/30/2011,39659.23
10/2/2011,11469.03
10/3/2011,59981.03
10/4/2011,37973.23
10/5/2011,73626.37
10/6/2011,52673.62
10/7/2011,48780.81
10/9/2011,11613.35
10/10/2011,40723.65
10/11/2011,34519.27
10/12/2011,24798.77
10/13/2011,32471.24
10/14/2011,31263.38
10/16/2011,21362.42
10/17/2011,42023.72
10/18/2011,36553.84
10/19/2011,30672.8
10/20/2011,60580.54
10/21/2011,60111.38
10/23/2011,12119.82
10/24/2011,31752.48
10/25/2011,35606.71
10/26/2011,33888.01
10/27/2011,45935.63
10/28/2011,36192.5
10/30/2011,34372
10/31/2011,32240.78
11/1/2011,28655.96
11/2/2011,37887.16
11/3/2011,59808.85
11/4/2011,52823.82
11/6/2011,42474.65
11/7/2011,26885.4
11/8/2011,37132.5
11/9/2011,57713.44
11/10/2011,68321.01
11/11/2011,36510.41
11/13/2011,27879.51
11/14/2011,56642.54
11/15/2011,47322.45
11/16/2011,46604.65
11/17/2011,54910.08
11/18/2011,35644.04
11/20/2011,29485.83
11/21/2011,43986.79
11/22/2011,48864.09
11/23/2011,70099.27
11/24/2011,35461.34
11/25/2011,26162.32
11/27/2011,16929.67
11/28/2011,49909.04
11/29/2011,48263.84
11/30/2011,40436.41
12/1/2011,43634.37
12/2/2011,43948.09
12/4/2011,20176.35
12/5/2011,56513.41
12/6/2011,43540.22
12/7/2011,68867.66
12/8/2011,49318.74
12/9/2011,15540.59
